Ticker,Date,Time,Open,High,Low,Close,Volume,Open Interest
BANKNIFTY06APR1718500PE.NFO,03/04/2017,11:55:59,0.35,0.35,0.35,0.35,40,0
BANKNIFTY06APR1718600PE.NFO,03/04/2017,10:51:59,2.95,2.95,2.95,2.95,40,0
BANKNIFTY06APR1719000PE.NFO,03/04/2017,12:43:59,0.3,0.3,0.3,0.3,24120,1000
BANKNIFTY06APR1719000PE.NFO,03/04/2017,12:44:59,0.3,0.3,0.3,0.3,35880,13640
BANKNIFTY06APR1719000PE.NFO,03/04/2017,12:45:59,0.3,0.3,0.3,0.3,28440,13640
BANKNIFTY06APR1719000PE.NFO,03/04/2017,12:46:59,0.3,0.3,0.3,0.3,1560,13640
BANKNIFTY06APR1719000PE.NFO,03/04/2017,14:42:59,0.3,0.3,0.25,0.25,37400,1000
BANKNIFTY06APR1719000PE.NFO,03/04/2017,14:43:59,0.25,0.25,0.25,0.25,200,1000
BANKNIFTY06APR1719000PE.NFO,03/04/2017,14:44:59,0.25,0.25,0.25,0.25,10000,3400
BANKNIFTY06APR1719000PE.NFO,03/04/2017,14:45:59,0.25,0.25,0.25,0.25,7600,3400
BANKNIFTY06APR1719000PE.NFO,03/04/2017,15:20:59,0.25,0.25,0.25,0.25,40,3400
BANKNIFTY06APR1719000PE.NFO,03/04/2017,15:27:59,0.1,0.1,0.1,0.1,2360,3400
BANKNIFTY06APR1719500CE.NFO,03/04/2017,9:23:59,1939.7,1939.7,1939.7,1939.7,40,200
BANKNIFTY06APR1719500CE.NFO,03/04/2017,9:50:59,1928.25,1928.25,1928.25,1928.25,40,240
BANKNIFTY06APR1719500PE.NFO,03/04/2017,9:23:59,0.05,0.05,0.05,0.05,40,23240
BANKNIFTY06APR1719500PE.NFO,03/04/2017,9:25:59,3.5,3.5,3.5,3.5,400,23240
BANKNIFTY06APR1719500PE.NFO,03/04/2017,9:27:59,0.1,0.1,0.05,0.05,800,23680
BANKNIFTY06APR1719500PE.NFO,03/04/2017,9:50:59,0.05,1.15,0.05,1.15,40,23280
BANKNIFTY06APR1719500PE.NFO,03/04/2017,10:21:59,1.15,1.15,0.05,0.05,120,23240
BANKNIFTY06APR1719500PE.NFO,03/04/2017,11:30:59,0.2,0.2,0.2,0.2,9520,23360
BANKNIFTY06APR1719500PE.NFO,03/04/2017,12:41:59,0.2,0.2,0.2,0.2,800,13840
BANKNIFTY06APR1719500PE.NFO,03/04/2017,12:50:59,0.2,0.2,0.15,0.15,23440,13840
BANKNIFTY06APR1719500PE.NFO,03/04/2017,12:51:59,0.15,0.15,0.15,0.15,36560,13840
BANKNIFTY06APR1719500PE.NFO,03/04/2017,12:52:59,0.15,0.15,0.15,0.15,40000,13840
BANKNIFTY06APR1719500PE.NFO,03/04/2017,12:53:59,0.15,0.15,0.15,0.15,32560,33200
BANKNIFTY06APR1719500PE.NFO,03/04/2017,12:54:59,0.15,0.15,0.15,0.15,17720,33200
BANKNIFTY06APR1719500PE.NFO,03/04/2017,12:55:59,0.15,0.15,0.15,0.15,10360,33200
BANKNIFTY06APR1719500PE.NFO,03/04/2017,12:59:59,0.15,0.15,0.15,0.15,40,13840
BANKNIFTY06APR1719500PE.NFO,03/04/2017,13:27:59,0.15,0.15,0.15,0.15,200,13840
BANKNIFTY06APR1719500PE.NFO,03/04/2017,13:34:59,0.15,0.15,0.15,0.15,6760,13640
BANKNIFTY06APR1719500PE.NFO,03/04/2017,13:42:59,0.1,0.1,0.1,0.1,320,13640
BANKNIFTY06APR1719500PE.NFO,03/04/2017,15:14:59,0.1,0.2,0.1,0.2,1000,13320
BANKNIFTY06APR1719500PE.NFO,03/04/2017,15:18:59,0.2,0.25,0.2,0.25,6760,13320
BANKNIFTY06APR1719800PE.NFO,03/04/2017,9:46:59,2.2,2.2,2.2,2.2,400,120
BANKNIFTY06APR1719800PE.NFO,03/04/2017,11:32:59,2.2,2.2,0.65,0.65,400,520
BANKNIFTY06APR1720000CE.NFO,03/04/2017,9:45:59,1420,1420,1420,1420,200,280
BANKNIFTY06APR1720000CE.NFO,03/04/2017,12:00:59,1420,1450,1420,1450,200,280
BANKNIFTY06APR1720000PE.NFO,03/04/2017,9:19:59,1.5,1.5,0.6,0.6,120,93040
BANKNIFTY06APR1720000PE.NFO,03/04/2017,9:20:59,1.4,1.4,1.4,1.4,160,93080
BANKNIFTY06APR1720000PE.NFO,03/04/2017,9:24:59,1.35,1.35,0.65,0.65,120,93160
BANKNIFTY06APR1720000PE.NFO,03/04/2017,9:31:59,0.7,0.7,0.7,0.7,40,93240
BANKNIFTY06APR1720000PE.NFO,03/04/2017,9:36:59,1.35,1.35,1.35,1.35,400,93200
